date,city,mean_t,rh,rainfall
2020-03-25,Kisumu,22.9,79.7,24.1
2020-03-26,Ukunda,29.5,75.4,
2020-03-26,Kisumu,23.4,77.4,13.5
2020-03-27,Ukunda,27.7,85.3,
2020-03-27,Kisumu,24.0,72.6,37.6
2020-03-28,Ukunda,29.0,81.0,
2020-03-28,Kisumu,22.4,81.6,24.1
2020-03-29,Ukunda,30.0,74.3,
2020-03-29,Kisumu,22.7,78.8,8.4
2020-03-30,Ukunda,30.1,76.4,
2020-03-30,Kisumu,23.9,72.3,0.0
2020-03-31,Ukunda,30.0,79.0,
2020-03-31,Kisumu,24.7,71.8,0.0
2020-04-01,Ukunda,30.3,78.8,
2020-04-01,Kisumu,25.1,70.4,0.0
2020-04-02,Ukunda,29.4,79.0,
2020-04-02,Kisumu,25.3,66.0,0.0
2020-04-03,Ukunda,28.0,81.5,
2020-04-03,Kisumu,26.1,64.7,0.0
2020-04-04,Ukunda,28.6,78.8,
2020-04-04,Kisumu,26.0,65.4,0.0
2020-04-05,Ukunda,28.9,82.0,
2020-04-05,Kisumu,26.0,64.5,0.0
2020-04-06,Ukunda,29.8,77.2,
2020-04-06,Kisumu,25.1,67.7,4.8
2020-04-07,Ukunda,29.3,80.1,
2020-04-07,Kisumu,25.6,65.3,3.0
2020-04-08,Ukunda,29.5,83.8,
2020-04-08,Kisumu,26.3,62.3,0.0
2020-04-09,Ukunda,28.8,80.3,
2020-04-09,Kisumu,26.2,59.9,0.0
2020-04-10,Ukunda,26.8,91.1,
2020-04-10,Kisumu,26.5,57.0,0.0
2020-04-11,Ukunda,25.4,91.1,
2020-04-11,Kisumu,26.0,63.6,10.7
2020-04-12,Ukunda,25.5,92.8,
2020-04-12,Kisumu,23.6,79.5,29.0
2020-04-13,Ukunda,28.0,83.5,
2020-04-13,Kisumu,22.8,85.7,26.7
2020-04-14,Ukunda,29.0,81.1,
2020-04-14,Kisumu,22.6,84.5,12.4
2020-04-15,Ukunda,28.6,80.5,
2020-04-15,Kisumu,23.8,75.3,1.5
2020-04-16,Ukunda,27.5,81.0,
2020-04-16,Kisumu,24.6,72.4,7.6
2020-04-17,Ukunda,27.7,78.8,
2020-04-17,Kisumu,24.1,77.3,9.4
2020-04-18,Ukunda,25.7,86.2,
2020-04-18,Kisumu,22.3,80.2,54.4
2020-04-19,Ukunda,25.2,93.7,
2020-04-19,Kisumu,23.0,79.6,15.7
2020-04-20,Ukunda,27.7,84.1,
2020-04-20,Kisumu,22.1,83.4,25.1
2020-04-21,Ukunda,28.7,80.1,
2020-04-21,Kisumu,23.1,79.1,0.3
2020-04-22,Ukunda,27.9,81.0,
2020-04-22,Kisumu,23.2,81.1,20.1
2020-04-23,Ukunda,25.2,91.2,
2020-04-23,Kisumu,21.5,85.5,20.1
2020-04-24,Ukunda,28.1,78.5,
2020-04-24,Kisumu,23.4,78.3,45.7
2020-04-25,Ukunda,26.5,89.5,
2020-04-25,Kisumu,23.4,80.3,2.5
2020-04-26,Ukunda,28.5,79.6,
2020-04-26,Kisumu,23.1,78.1,1.5
2020-04-27,Ukunda,26.4,83.9,
2020-04-27,Kisumu,23.3,77.8,0.3
2020-04-28,Ukunda,25.6,92.2,
2020-04-28,Kisumu,23.4,77.1,3.8
2020-04-29,Ukunda,26.0,89.6,
2020-04-29,Kisumu,23.2,79.7,27.7
2020-04-30,Ukunda,27.2,81.1,
2020-04-30,Kisumu,23.3,77.1,9.7
2020-05-01,Ukunda,26.0,88.0,
2020-05-01,Kisumu,23.9,74.2,5.1
2020-05-02,Ukunda,26.2,86.5,
2020-05-02,Kisumu,23.2,78.0,2.0
2020-05-03,Ukunda,27.6,82.3,
2020-05-03,Kisumu,23.2,78.2,2.3
2020-05-04,Ukunda,26.7,87.8,
2020-05-04,Kisumu,23.6,74.7,0.0
2020-05-05,Ukunda,26.2,86.2,
2020-05-05,Kisumu,23.9,73.5,0.0
2020-05-06,Ukunda,25.2,91.8,
2020-05-06,Kisumu,23.3,80.1,5.6
2020-05-07,Ukunda,24.8,90.5,
2020-05-07,Kisumu,23.8,74.6,0.0
2020-05-08,Ukunda,24.9,95.8,
2020-05-08,Kisumu,24.1,77.1,0.8
2020-05-09,Ukunda,26.8,84.3,
2020-05-09,Kisumu,24.1,76.1,2.0
2020-05-10,Ukunda,25.5,83.9,
2020-05-10,Kisumu,23.6,78.3,6.1
2020-05-11,Ukunda,25.8,88.9,
2020-05-11,Kisumu,23.8,78.9,4.8
2020-05-12,Ukunda,26.6,85.5,
2020-05-12,Kisumu,23.6,77.6,0.5
2020-05-13,Ukunda,27.6,85.0,
2020-05-13,Kisumu,24.3,73.8,0.0
2020-05-14,Ukunda,27.9,84.5,
2020-05-14,Kisumu,25.2,68.8,0.0
2020-05-15,Ukunda,26.0,85.4,
2020-05-15,Kisumu,23.2,80.7,33.3
2020-05-16,Ukunda,27.4,77.6,
2020-05-16,Kisumu,23.3,80.7,0.0
2020-05-17,Ukunda,26.8,80.3,
2020-05-17,Kisumu,24.1,70.9,0.0
2020-05-18,Ukunda,27.5,70.3,
2020-05-18,Kisumu,24.0,72.9,23.4
2020-05-19,Ukunda,24.4,84.1,
2020-05-19,Kisumu,22.9,79.2,0.0
2020-05-20,Ukunda,25.6,84.3,
2020-05-20,Kisumu,23.3,75.6,0.0
2020-05-21,Ukunda,26.2,84.7,
2020-05-21,Kisumu,24.0,66.3,0.0
2020-05-22,Ukunda,26.6,77.5,
2020-05-22,Kisumu,24.0,72.6,8.4
2020-05-23,Ukunda,27.2,78.7,
2020-05-23,Kisumu,23.9,75.6,1.0
2020-05-24,Ukunda,27.5,78.6,
2020-05-24,Kisumu,23.7,80.3,5.8
2020-05-25,Ukunda,26.9,84.6,
2020-05-25,Kisumu,24.3,73.6,0.0
2020-05-26,Ukunda,26.3,88.4,
2020-05-26,Kisumu,24.3,72.8,0.0
2020-05-27,Ukunda,27.2,84.5,
2020-05-27,Kisumu,25.0,66.4,0.0
2020-05-28,Ukunda,26.9,86.6,
2020-05-28,Kisumu,25.1,63.3,0.0
2020-05-29,Ukunda,26.5,79.5,
2020-05-29,Kisumu,24.2,69.1,2.0
2020-05-30,Ukunda,27.6,77.0,
2020-05-30,Kisumu,24.4,66.1,0.0
2020-05-31,Ukunda,27.6,78.6,
2020-05-31,Kisumu,23.9,72.1,20.1
2020-06-01,Ukunda,27.1,77.9,
2020-06-01,Kisumu,22.7,77.3,
2020-06-02,Ukunda,25.1,89.6,
2020-06-02,Kisumu,26.2,58.4,
2020-06-03,Ukunda,26.4,86.1,
2020-06-03,Kisumu,23.3,70.3,
2020-06-04,Ukunda,27.1,81.0,
2020-06-04,Kisumu,23.8,67.9,
2020-06-05,Ukunda,27.7,79.4,
2020-06-05,Kisumu,25.0,62.6,
2020-06-06,Ukunda,26.9,82.1,
2020-06-06,Kisumu,24.6,64.0,
2020-06-07,Ukunda,25.6,88.2,
2020-06-07,Kisumu,25.1,60.4,10.2
2020-06-08,Ukunda,25.9,85.4,
2020-06-08,Kisumu,22.3,78.5,7.4
2020-06-09,Ukunda,25.5,85.5,
2020-06-09,Kisumu,24.1,69.5,0.0
2020-06-10,Ukunda,26.3,82.2,
2020-06-10,Kisumu,21.6,85.4,32.3
2020-06-11,Ukunda,25.9,83.1,
2020-06-11,Kisumu,22.0,77.7,6.1
2020-06-12,Ukunda,26.1,82.6,
2020-06-12,Kisumu,21.9,76.0,0.0
2020-06-13,Ukunda,26.4,80.2,
2020-06-13,Kisumu,22.3,74.8,1.0
2020-06-14,Ukunda,28.4,77.8,
2020-06-14,Kisumu,23.4,72.6,0.0
2020-06-15,Ukunda,26.6,76.7,
2020-06-15,Kisumu,21.7,79.5,22.1
2020-06-16,Ukunda,26.2,73.6,
2020-06-16,Kisumu,23.4,68.3,0.0
2020-06-17,Ukunda,26.5,77.5,
2020-06-17,Kisumu,24.0,69.3,0.8
2020-06-18,Ukunda,25.6,83.8,
2020-06-18,Kisumu,23.9,70.0,0.0
2020-06-19,Ukunda,26.9,79.4,
2020-06-19,Kisumu,23.1,71.5,0.0
2020-06-20,Ukunda,26.6,79.0,
2020-06-20,Kisumu,23.9,66.8,0.0
2020-06-21,Ukunda,25.4,80.4,
2020-06-21,Kisumu,23.8,68.3,0.0
2020-06-22,Ukunda,25.6,80.0,
2020-06-22,Kisumu,23.3,72.7,0.0
2020-06-23,Ukunda,26.3,83.1,
2020-06-23,Kisumu,24.1,67.5,0.0
2020-06-24,Ukunda,26.0,79.4,
2020-06-24,Kisumu,22.6,73.5,13.0
2020-06-25,Ukunda,25.8,81.3,
2020-06-25,Kisumu,23.5,64.0,0.0
2020-06-26,Ukunda,26.0,86.4,
2020-06-26,Kisumu,22.9,68.1,0.0
2020-06-27,Ukunda,26.3,83.0,
2020-06-27,Kisumu,22.5,74.9,8.6
2020-06-28,Ukunda,25.1,84.3,
2020-06-28,Kisumu,23.0,70.1,0.0
2020-06-29,Ukunda,25.7,73.4,
2020-06-29,Kisumu,24.0,66.5,0.0
2020-06-30,Ukunda,26.3,81.0,
2020-06-30,Kisumu,24.5,60.2,0.0
2020-07-01,Ukunda,26.5,79.2,
2020-07-01,Kisumu,23.9,60.0,0.0
2020-07-02,Ukunda,26.3,79.2,
2020-07-02,Kisumu,23.9,60.9,0.0
2020-07-03,Ukunda,26.5,77.3,
2020-07-03,Kisumu,24.9,60.6,1.3
2020-07-04,Ukunda,26.4,84.7,
2020-07-04,Kisumu,24.0,69.5,0.0
2020-07-05,Ukunda,26.3,79.1,
2020-07-05,Kisumu,23.8,69.2,7.6
2020-07-06,Ukunda,26.3,77.5,
2020-07-06,Kisumu,22.2,75.7,6.4
2020-07-07,Ukunda,26.1,77.5,
2020-07-07,Kisumu,23.6,69.6,0.0
2020-07-08,Ukunda,26.4,79.8,
2020-07-08,Kisumu,22.7,74.8,0.0
2020-07-09,Ukunda,26.1,87.7,
2020-07-09,Kisumu,23.9,63.9,0.0
2020-07-10,Ukunda,26.5,80.6,
2020-07-10,Kisumu,23.7,67.4,0.0
2020-07-11,Ukunda,25.9,82.1,
2020-07-11,Kisumu,21.9,76.5,21.3
2020-07-12,Ukunda,25.5,82.9,
2020-07-12,Kisumu,21.6,74.1,0.3
2020-07-13,Ukunda,26.4,80.0,
2020-07-13,Kisumu,22.7,69.2,0.0
2020-07-14,Ukunda,26.5,79.8,
2020-07-14,Kisumu,22.0,75.2,1.8
2020-07-15,Ukunda,26.5,79.5,
2020-07-15,Kisumu,23.2,67.5,0.0
2020-07-16,Ukunda,25.7,80.5,
2020-07-16,Kisumu,22.3,70.8,0.0
2020-07-17,Ukunda,25.5,64.5,
2020-07-17,Kisumu,23.3,65.4,0.0
2020-07-18,Ukunda,25.2,65.3,
2020-07-18,Kisumu,22.6,64.9,0.0
2020-07-19,Ukunda,24.7,71.2,
2020-07-19,Kisumu,23.6,57.1,0.0
2020-07-20,Ukunda,25.5,77.0,
2020-07-20,Kisumu,24.5,57.6,0.0
2020-07-21,Ukunda,25.8,78.9,
2020-07-21,Kisumu,22.6,71.4,0.3
2020-07-22,Ukunda,26.1,80.0,
2020-07-22,Kisumu,23.7,66.9,0.0
2020-07-23,Ukunda,25.8,78.6,
2020-07-23,Kisumu,24.3,63.3,0.0
2020-07-24,Ukunda,25.7,73.3,
2020-07-24,Kisumu,24.4,62.3,0.0
2020-07-25,Ukunda,25.7,75.0,
2020-07-25,Kisumu,25.0,61.2,0.0
2020-07-26,Ukunda,25.4,77.6,
2020-07-26,Kisumu,24.5,57.8,0.0
2020-07-27,Ukunda,26.0,75.4,
2020-07-27,Kisumu,24.4,59.4,0.0
2020-07-28,Ukunda,25.8,81.4,
2020-07-28,Kisumu,24.1,63.2,4.3
2020-07-29,Ukunda,26.0,76.3,
2020-07-29,Kisumu,22.3,77.6,20.1
2020-07-30,Ukunda,24.9,88.8,
2020-07-30,Kisumu,22.5,73.4,7.9
2020-07-31,Ukunda,25.1,84.5,
2020-07-31,Kisumu,23.8,64.6,0.0
2020-08-01,Ukunda,24.4,81.3,
2020-08-01,Kisumu,24.2,63.0,0.0
2020-08-02,Ukunda,25.3,76.8,
2020-08-02,Kisumu,24.2,60.4,0.0
2020-08-03,Ukunda,25.5,80.3,
2020-08-03,Kisumu,23.7,56.2,0.0
2020-08-04,Ukunda,25.8,76.6,
2020-08-04,Kisumu,23.6,65.4,0.0
2020-08-05,Ukunda,26.0,77.9,
2020-08-05,Kisumu,24.8,61.0,0.0
2020-08-06,Ukunda,25.6,76.9,
2020-08-06,Kisumu,24.6,65.4,10.9
2020-08-07,Ukunda,25.4,76.0,
2020-08-07,Kisumu,23.7,71.1,0.5
2020-08-08,Ukunda,25.5,77.2,
2020-08-08,Kisumu,24.3,65.9,0.0
2020-08-09,Ukunda,24.5,80.1,
2020-08-09,Kisumu,23.6,62.0,0.0
2020-08-10,Ukunda,25.2,77.1,
2020-08-10,Kisumu,24.2,61.7,0.0
2020-08-11,Ukunda,25.1,79.9,
2020-08-11,Kisumu,23.7,69.0,0.8
2020-08-12,Ukunda,25.1,80.0,
2020-08-12,Kisumu,23.6,72.2,5.8
2020-08-13,Ukunda,25.1,75.9,
2020-08-13,Kisumu,23.3,76.2,0.0
2020-08-14,Ukunda,25.1,75.5,
2020-08-14,Kisumu,22.9,81.4,22.1
2020-08-15,Ukunda,24.8,74.3,
2020-08-15,Kisumu,23.5,75.2,5.6
2020-08-16,Ukunda,25.0,84.6,
2020-08-16,Kisumu,24.4,68.3,0.0
2020-08-17,Ukunda,25.9,78.6,
2020-08-17,Kisumu,24.6,67.6,0.0
2020-08-18,Ukunda,26.1,78.6,
2020-08-18,Kisumu,24.6,67.2,0.3
2020-08-19,Ukunda,26.3,80.1,
2020-08-19,Kisumu,24.3,70.7,1.8
2020-08-20,Ukunda,25.0,84.7,
2020-08-20,Kisumu,24.2,69.9,2.3
2020-08-21,Ukunda,25.4,80.7,
2020-08-21,Kisumu,23.5,70.8,0.0
2020-08-22,Ukunda,25.1,80.3,
2020-08-22,Kisumu,23.9,62.8,0.5
2020-08-23,Ukunda,25.7,79.8,
2020-08-23,Kisumu,23.8,65.6,0.0
2020-08-24,Ukunda,25.8,77.2,
2020-08-24,Kisumu,22.9,69.6,0.0
2020-08-25,Ukunda,25.5,79.7,
2020-08-25,Kisumu,23.2,68.1,1.5
2020-08-26,Ukunda,26.3,84.8,
2020-08-26,Kisumu,22.8,65.7,0.0
2020-08-27,Ukunda,25.7,83.4,
2020-08-27,Kisumu,23.7,59.0,0.0
2020-08-28,Ukunda,25.5,78.9,
2020-08-28,Kisumu,24.3,63.4,35.1
2020-08-29,Ukunda,25.9,76.9,
2020-08-29,Kisumu,23.6,67.0,2.8
2020-08-30,Ukunda,26.1,75.0,
2020-08-30,Kisumu,23.1,75.2,17.5
2020-08-31,Ukunda,26.0,79.2,
2020-08-31,Kisumu,22.2,74.3,12.4
2020-09-01,Ukunda,25.3,80.4,
2020-09-01,Kisumu,23.2,71.0,7.1
2020-09-02,Ukunda,25.4,75.8,
2020-09-02,Kisumu,23.9,63.6,0.8
2020-09-03,Ukunda,26.1,74.1,
2020-09-03,Kisumu,23.9,65.8,10.9
2020-09-04,Ukunda,26.0,77.5,
2020-09-04,Kisumu,22.8,72.6,10.2
2020-09-05,Ukunda,25.6,78.2,
2020-09-05,Kisumu,23.7,67.0,0.0
2020-09-06,Ukunda,25.5,79.4,
2020-09-06,Kisumu,23.6,69.7,4.6
2020-09-07,Ukunda,25.9,84.9,
2020-09-07,Kisumu,22.0,78.6,21.3
2020-09-08,Ukunda,24.8,78.6,
2020-09-08,Kisumu,22.6,76.1,0.3
2020-09-09,Ukunda,25.7,73.6,
2020-09-09,Kisumu,23.1,71.4,0.0
2020-09-10,Ukunda,25.7,78.8,
2020-09-10,Kisumu,23.7,66.5,0.0
2020-09-11,Ukunda,26.2,77.6,
2020-09-11,Kisumu,23.5,67.1,0.0
2020-09-12,Ukunda,26.7,75.2,
2020-09-12,Kisumu,23.1,70.3,0.0
2020-09-13,Ukunda,26.6,74.4,
2020-09-13,Kisumu,24.1,65.8,0.0
2020-09-14,Ukunda,26.9,77.7,
2020-09-14,Kisumu,24.8,62.3,0.0
2020-09-15,Ukunda,26.9,77.9,
2020-09-15,Kisumu,25.0,61.4,0.0
2020-09-16,Ukunda,26.8,78.1,
2020-09-16,Kisumu,25.3,59.2,0.0
2020-09-17,Ukunda,26.7,79.5,
2020-09-17,Kisumu,26.7,54.0,0.0
2020-09-18,Ukunda,26.4,85.8,
2020-09-18,Kisumu,26.3,53.8,0.0
2020-09-19,Ukunda,25.3,79.0,
2020-09-19,Kisumu,24.5,64.6,0.8
2020-09-20,Ukunda,26.7,76.6,
2020-09-20,Kisumu,24.6,62.9,22.1
2020-09-21,Ukunda,26.7,78.1,
2020-09-21,Kisumu,23.9,68.8,0.5
2020-09-22,Ukunda,26.5,75.7,
2020-09-22,Kisumu,22.4,76.8,36.1
2020-09-23,Ukunda,27.3,85.6,
2020-09-23,Kisumu,23.2,73.8,5.8
