City,Environment,Container,Percentage,Day,Cases,caseslow95,casesup95,Household,HH_low95,HH_up95,Non_Household,NH_low95,NH_up95,pweeks_cases,pwk_low95,pwk_up95,weeks_cases,wk_low95,wk_up95,pweeks_HHcases,pwk_HHlow95,pwk_HHup95,weeks_HHcases,wk_HHlow95,wk_HHup95,pweeks_NHcases,pwk_NHlow95,pwk_NHup95,weeks_NHcases,wk_NHlow95,wk_NHup95
Kisumu,Household,big,50,1,458.5,249.0,962.5,174.0,87.0,387.2,248.5,127.0,570.5,0.6190476190476191,0.37142857142857144,1.0,65.0,39.0,105.0,0.5047619047619047,0.2857142857142857,0.9428571428571428,53.0,30.0,99.0,0.5142857142857142,0.3047619047619048,1.0,54.0,32.0,105.0
Ukunda,Household,big,50,1,3.076e3,1.902e3,4.49e3,1.212e3,702.0,1.846e3,1.8e3,1.045e3,2.706e3,1.0,0.9047619047619048,1.0,105.0,95.0,105.0,0.9523809523809523,0.8380952380952381,1.0,100.0,88.0,105.0,0.9809523809523809,0.8380952380952381,0.9904761904761905,103.0,88.0,104.0
Kisumu,Household,big,50,50,532.0,296.8,1.08e3,206.5,105.0,445.2,285.0,142.8,640.0,0.6761904761904762,0.41904761904761906,1.0,71.0,44.0,105.0,0.580952380952381,0.3238095238095238,0.9809523809523809,61.0,34.0,103.0,0.638095238095238,0.34285714285714286,1.0,67.0,36.0,105.0
Ukunda,Household,big,50,50,3.174e3,2.001e3,4.496e3,1.262e3,755.0,1.879e3,1.83e3,1.105e3,2.692e3,0.9904761904761905,0.8952380952380953,1.0,104.0,94.0,105.0,0.9333333333333333,0.819047619047619,1.0,98.0,86.0,105.0,0.9714285714285714,0.8285714285714286,0.9904761904761905,102.0,87.0,104.0
Kisumu,Household,big,50,100,575.0,320.5,1.122e3,225.5,117.0,461.5,306.5,154.2,663.0,0.6952380952380952,0.42857142857142855,1.0,73.0,45.0,105.0,0.6285714285714286,0.3238095238095238,0.9523809523809523,66.0,34.0,100.0,0.638095238095238,0.34285714285714286,1.0,67.0,36.0,105.0
Ukunda,Household,big,50,100,3.204e3,2.042e3,4.588e3,1.294e3,779.0,1.928e3,1.844e3,1.112e3,2.74e3,0.9904761904761905,0.8857142857142857,1.0,104.0,93.0,105.0,0.9333333333333333,0.819047619047619,1.0,98.0,86.0,105.0,0.9428571428571428,0.8285714285714286,0.9904761904761905,99.0,87.0,104.0
Kisumu,Household,big,50,250,618.5,333.5,1.192e3,246.5,123.0,500.5,336.5,158.2,704.5,0.7523809523809524,0.45714285714285713,1.0,79.0,48.0,105.0,0.6857142857142857,0.3619047619047619,1.0,72.0,38.0,105.0,0.6761904761904762,0.37142857142857144,1.0,71.0,39.0,105.0
Ukunda,Household,big,50,250,3.476e3,2.266e3,4.828e3,1.437e3,894.0,2.096e3,1.964e3,1.218e3,2.824e3,0.9714285714285714,0.8571428571428571,1.0,102.0,90.0,105.0,0.8952380952380953,0.8095238095238095,1.0,94.0,85.0,105.0,0.9238095238095239,0.8095238095238095,0.9904761904761905,97.0,85.0,104.0
Kisumu,Household,big,75,1,390.0,223.8,763.0,133.0,70.25,287.5,222.5,117.0,477.5,0.5142857142857142,0.3333333333333333,0.8666666666666667,54.0,35.0,91.0,0.3904761904761905,0.2761904761904762,0.7714285714285715,41.0,29.0,81.0,0.4380952380952381,0.2857142857142857,0.7904761904761904,46.0,30.0,83.0
Ukunda,Household,big,75,1,2.138e3,1.106e3,3.34e3,735.5,334.0,1.248e3,1.322e3,632.5,2.168e3,1.0,0.8571428571428571,1.0,105.0,90.0,105.0,0.9142857142857143,0.7904761904761904,1.0,96.0,83.0,105.0,0.9714285714285714,0.8,0.9904761904761905,102.0,84.0,104.0
Kisumu,Household,big,75,50,468.0,288.8,868.0,175.5,97.0,335.2,267.5,148.5,542.0,0.5523809523809524,0.37142857142857144,0.8857142857142857,58.0,39.0,93.0,0.4380952380952381,0.2857142857142857,0.7904761904761904,46.0,30.0,83.0,0.47619047619047616,0.3238095238095238,0.8095238095238095,50.0,34.0,85.0
Ukunda,Household,big,75,50,2.404e3,1.384e3,3.608e3,853.0,452.5,1.366e3,1.466e3,802.0,2.302e3,0.9904761904761905,0.8380952380952381,1.0,104.0,88.0,105.0,0.8952380952380953,0.780952380952381,1.0,94.0,82.0,105.0,0.9523809523809523,0.8,0.9904761904761905,100.0,84.0,104.0
Kisumu,Household,big,75,100,506.0,302.5,979.0,194.0,107.5,392.2,281.0,146.5,590.0,0.5904761904761905,0.4,0.9523809523809523,62.0,42.0,100.0,0.4857142857142857,0.3047619047619048,0.8380952380952381,51.0,32.0,88.0,0.5047619047619047,0.3333333333333333,0.8761904761904762,53.0,35.0,92.0
Ukunda,Household,big,75,100,2.508e3,1.494e3,3.744e3,931.0,510.5,1.446e3,1.512e3,841.0,2.346e3,0.9523809523809523,0.8285714285714286,1.0,100.0,87.0,105.0,0.8761904761904762,0.7714285714285715,1.0,92.0,81.0,105.0,0.9047619047619048,0.7904761904761904,0.9904761904761905,95.0,83.0,104.0
Kisumu,Household,big,75,250,583.5,327.2,1.064e3,234.5,120.0,451.5,318.0,153.0,631.0,0.7047619047619048,0.45714285714285713,0.9428571428571428,74.0,48.0,99.0,0.6476190476190476,0.3523809523809524,0.8571428571428571,68.0,37.0,90.0,0.6761904761904762,0.3523809523809524,0.8666666666666667,71.0,37.0,91.0
Ukunda,Household,big,75,250,3.106e3,2.038e3,4.376e3,1.248e3,778.0,1.832e3,1.798e3,1.108e3,2.628e3,0.9428571428571428,0.8380952380952381,1.0,99.0,88.0,105.0,0.8666666666666667,0.7619047619047619,0.9904761904761905,91.0,80.0,104.0,0.8857142857142857,0.8095238095238095,0.9904761904761905,93.0,85.0,104.0
Kisumu,Household,big,100,1,303.0,188.8,500.2,94.0,48.75,175.2,192.0,102.0,341.5,0.4095238095238095,0.3047619047619048,0.6571428571428571,43.0,32.0,69.0,0.3142857142857143,0.20952380952380953,0.5238095238095238,33.0,22.0,55.0,0.37142857142857144,0.24761904761904763,0.5904761904761905,39.0,26.0,62.0
Ukunda,Household,big,100,1,512.5,191.5,1.388e3,112.5,41.0,347.0,350.5,117.5,1.019e3,0.6571428571428571,0.34285714285714286,0.9523809523809523,69.0,36.0,100.0,0.44761904761904764,0.21904761904761905,0.8285714285714286,47.0,23.0,87.0,0.6190476190476191,0.3047619047619048,0.9142857142857143,65.0,32.0,96.0
Kisumu,Household,big,100,50,406.5,253.0,686.5,145.5,82.0,258.5,233.5,132.0,436.0,0.45714285714285713,0.3333333333333333,0.7428571428571429,48.0,35.0,78.0,0.3523809523809524,0.23809523809523808,0.6571428571428571,37.0,25.0,69.0,0.41904761904761906,0.2857142857142857,0.6571428571428571,44.0,30.0,69.0
